Date,Product ID,Units Sold,Price,Revenue,Store ID,Stock Level,Restock_Date,Warehouse/Store ID,AvgPrice,Cost
01-01-2022,P0001,127,33.5,4254.5,S001,4174,31-01-2022,S001,54.62,27.99
01-01-2022,P0001,127,33.5,4254.5,S001,3449,01-02-2022,S001,54.62,22.36
01-01-2022,P0001,127,33.5,4254.5,S001,4312,02-02-2022,S001,54.62,32.37
01-01-2022,P0001,127,33.5,4254.5,S001,2707,03-02-2022,S001,54.62,22.69
01-01-2022,P0001,127,33.5,4254.5,S001,3557,04-02-2022,S001,54.62,23.54
01-01-2022,P0001,127,33.5,4254.5,S001,1569,05-02-2022,S001,54.62,33.29
01-01-2022,P0001,127,33.5,4254.5,S001,1830,06-02-2022,S001,54.62,24.62
01-01-2022,P0001,127,33.5,4254.5,S001,2568,07-02-2022,S001,54.62,30.58
01-01-2022,P0001,127,33.5,4254.5,S001,1850,08-02-2022,S001,54.62,33.44
01-01-2022,P0001,127,33.5,4254.5,S001,2996,09-02-2022,S001,54.62,25.25
01-01-2022,P0001,127,33.5,4254.5,S001,4322,10-02-2022,S001,54.62,24.88
01-01-2022,P0002,150,63.01,9451.5,S001,4507,31-01-2022,S001,62.52392156862745,42.84
01-01-2022,P0002,150,63.01,9451.5,S001,3777,01-02-2022,S001,62.52392156862745,36.95
01-01-2022,P0002,150,63.01,9451.5,S001,1563,02-02-2022,S001,62.52392156862745,26.59
01-01-2022,P0002,150,63.01,9451.5,S001,3777,03-02-2022,S001,62.52392156862745,34.98
01-01-2022,P0002,150,63.01,9451.5,S001,2496,04-02-2022,S001,62.52392156862745,41.94
01-01-2022,P0002,150,63.01,9451.5,S001,2346,05-02-2022,S001,62.52392156862745,35.07
01-01-2022,P0002,150,63.01,9451.5,S001,2810,06-02-2022,S001,62.52392156862745,30.24
01-01-2022,P0002,150,63.01,9451.5,S001,1956,07-02-2022,S001,62.52392156862745,25.98
01-01-2022,P0002,150,63.01,9451.5,S001,4577,08-02-2022,S001,62.52392156862745,27.87
01-01-2022,P0002,150,63.01,9451.5,S001,3395,09-02-2022,S001,62.52392156862745,25.51
01-01-2022,P0002,150,63.01,9451.5,S001,1876,10-02-2022,S001,62.52392156862745,35.17
01-01-2022,P0003,65,27.99,1819.35,S001,1860,31-01-2022,S001,52.47,32.51
01-01-2022,P0003,65,27.99,1819.35,S001,2579,01-02-2022,S001,52.47,25.94
01-01-2022,P0003,65,27.99,1819.35,S001,2020,02-02-2022,S001,52.47,23.53
01-01-2022,P0003,65,27.99,1819.35,S001,2695,03-02-2022,S001,52.47,29.5
01-01-2022,P0003,65,27.99,1819.35,S001,1098,04-02-2022,S001,52.47,28.94
01-01-2022,P0003,65,27.99,1819.35,S001,2895,05-02-2022,S001,52.47,25.86
01-01-2022,P0003,65,27.99,1819.35,S001,4675,06-02-2022,S001,52.47,23.77
01-01-2022,P0003,65,27.99,1819.35,S001,3738,07-02-2022,S001,52.47,26.29
01-01-2022,P0003,65,27.99,1819.35,S001,2390,08-02-2022,S001,52.47,30.06
01-01-2022,P0003,65,27.99,1819.35,S001,1189,09-02-2022,S001,52.47,23.84
01-01-2022,P0003,65,27.99,1819.35,S001,2028,10-02-2022,S001,52.47,34.73
01-01-2022,P0004,61,32.72,1995.92,S001,2294,31-01-2022,S001,59.90313725490196,34.72
01-01-2022,P0004,61,32.72,1995.92,S001,1161,01-02-2022,S001,59.90313725490196,33.1
01-01-2022,P0004,61,32.72,1995.92,S001,1095,02-02-2022,S001,59.90313725490196,40.11
01-01-2022,P0004,61,32.72,1995.92,S001,2733,03-02-2022,S001,59.90313725490196,35.42
01-01-2022,P0004,61,32.72,1995.92,S001,3200,04-02-2022,S001,59.90313725490196,38.81
