Product ID,Inventory Level,Restock_Date,Store ID,AvgPrice,Cost
P0001,4174,31-01-2022,S001,54.62,27.99
P0002,4507,31-01-2022,S001,62.52392156862745,42.84
P0003,1860,31-01-2022,S001,52.47,32.51
P0004,2294,31-01-2022,S001,59.90313725490196,34.72
P0005,2130,31-01-2022,S001,58.20862745098039,26.01
P0006,2095,31-01-2022,S001,57.11627450980392,25.52
P0007,4772,31-01-2022,S001,57.154705882352935,23.86
P0008,4092,31-01-2022,S001,54.893137254901966,36.22
P0009,2638,31-01-2022,S001,56.76176470588235,32.94
P0010,3169,31-01-2022,S001,58.38823529411765,35.76
P0011,1466,31-01-2022,S001,57.14274509803922,23.21
P0012,2238,31-01-2022,S001,58.3956862745098,40.35
P0013,1330,31-01-2022,S001,56.28823529411764,36.57
P0014,2482,31-01-2022,S001,56.10098039215686,26.01
P0015,3135,31-01-2022,S001,56.78431372549019,25.81
P0016,4444,31-01-2022,S001,54.23431372549019,24.68
P0017,4171,31-01-2022,S001,52.1358,25.61
P0018,3919,31-01-2022,S001,57.3886,31.99
P0019,4735,31-01-2022,S001,55.3658,29.32
P0020,1130,31-01-2022,S001,56.9964,27.78
P0001,2685,31-01-2022,S002,54.62,31.87
P0002,4380,31-01-2022,S002,62.52392156862745,27.63
P0003,1769,31-01-2022,S002,52.47,25.59
P0004,3391,31-01-2022,S002,59.90313725490196,30.55
P0005,2515,31-01-2022,S002,58.20862745098039,31.25
P0006,4485,31-01-2022,S002,57.11627450980392,36.3
P0007,3853,31-01-2022,S002,57.154705882352935,26.29
P0008,3433,31-01-2022,S002,54.893137254901966,30.43
P0009,2215,31-01-2022,S002,56.76176470588235,32.79
P0010,1955,31-01-2022,S002,58.38823529411765,24.17
P0011,3324,31-01-2022,S002,57.14274509803922,33.27
P0012,2184,31-01-2022,S002,58.3956862745098,26.35
P0013,1459,31-01-2022,S002,56.28823529411764,23.61
P0014,4385,31-01-2022,S002,56.10098039215686,38.41
P0015,1021,31-01-2022,S002,56.78431372549019,39.16
P0016,3300,31-01-2022,S002,54.23431372549019,34.85
P0017,1747,31-01-2022,S002,52.1358,25.62
P0018,3904,31-01-2022,S002,57.3886,24.64
P0019,4632,31-01-2022,S002,55.3658,33.51
P0020,1474,31-01-2022,S002,56.9964,30.32
P0001,2082,31-01-2022,S003,54.62,23.85
P0002,3558,31-01-2022,S003,62.52392156862745,34.3
P0003,4753,31-01-2022,S003,52.47,21.53
P0004,3047,31-01-2022,S003,59.90313725490196,40.3
P0005,4547,31-01-2022,S003,58.20862745098039,27.8
P0006,3747,31-01-2022,S003,57.11627450980392,34.2
P0007,1975,31-01-2022,S003,57.154705882352935,28.21
P0008,2806,31-01-2022,S003,54.893137254901966,30.52
P0009,1189,31-01-2022,S003,56.76176470588235,32.01
P0010,4005,31-01-2022,S003,58.38823529411765,26.59
P0011,3734,31-01-2022,S003,57.14274509803922,39.48
P0012,4005,31-01-2022,S003,58.3956862745098,36.94
P0013,1562,31-01-2022,S003,56.28823529411764,38.38
P0014,2899,31-01-2022,S003,56.10098039215686,37.5
P0015,4638,31-01-2022,S003,56.78431372549019,32.9
P0016,2267,31-01-2022,S003,54.23431372549019,36.69
P0017,3879,31-01-2022,S003,52.1358,22.24
P0018,2528,31-01-2022,S003,57.3886,26.33
P0019,4202,31-01-2022,S003,55.3658,22.9
P0020,4556,31-01-2022,S003,56.9964,28.36
P0001,4890,31-01-2022,S004,54.62,28.22
P0002,1646,31-01-2022,S004,62.52392156862745,30.1
P0003,3068,31-01-2022,S004,52.47,34.03
P0004,3888,31-01-2022,S004,59.90313725490196,30.37
P0005,3214,31-01-2022,S004,58.20862745098039,28.19
P0006,2297,31-01-2022,S004,57.11627450980392,32.15
P0007,3435,31-01-2022,S004,57.154705882352935,25.28
P0008,1600,31-01-2022,S004,54.893137254901966,35.17
P0009,3363,31-01-2022,S004,56.76176470588235,23.97
P0010,3061,31-01-2022,S004,58.38823529411765,40.64
P0011,1241,31-01-2022,S004,57.14274509803922,36.1
P0012,3041,31-01-2022,S004,58.3956862745098,26.84
P0013,3824,31-01-2022,S004,56.28823529411764,22.61
P0014,4417,31-01-2022,S004,56.10098039215686,36.16
P0015,3612,31-01-2022,S004,56.78431372549019,34.76
P0016,3945,31-01-2022,S004,54.23431372549019,33.55
P0017,2363,31-01-2022,S004,52.1358,32.92
P0018,3139,31-01-2022,S004,57.3886,24.23
P0019,2390,31-01-2022,S004,55.3658,28.1
P0020,4003,31-01-2022,S004,56.9964,24.78
P0001,2478,31-01-2022,S005,54.62,35.99
P0002,4499,31-01-2022,S005,62.52392156862745,36.7
P0003,3556,31-01-2022,S005,52.47,26.2
P0004,1775,31-01-2022,S005,59.90313725490196,25.1
P0005,1034,31-01-2022,S005,58.20862745098039,28.71
P0006,3253,31-01-2022,S005,57.11627450980392,28.42
P0007,4152,31-01-2022,S005,57.154705882352935,35.37
P0008,2955,31-01-2022,S005,54.893137254901966,32.46
P0009,2585,31-01-2022,S005,56.76176470588235,37.81
P0010,4943,31-01-2022,S005,58.38823529411765,31.63
P0011,4459,31-01-2022,S005,57.14274509803922,24.91
P0012,4073,31-01-2022,S005,58.3956862745098,35.85
P0013,2021,31-01-2022,S005,56.28823529411764,35.36
P0014,4461,31-01-2022,S005,56.10098039215686,31.89
P0015,3613,31-01-2022,S005,56.78431372549019,35.85
P0016,2129,31-01-2022,S005,54.23431372549019,29.73
P0017,4843,31-01-2022,S005,52.1358,29.03
P0018,4893,31-01-2022,S005,57.3886,30.32
P0019,2500,31-01-2022,S005,55.3658,22.57
P0020,1702,31-01-2022,S005,56.9964,24.64
P0001,3449,01-02-2022,S001,54.62,22.36
P0002,3777,01-02-2022,S001,62.52392156862745,36.95
P0003,2579,01-02-2022,S001,52.47,25.94
P0004,1161,01-02-2022,S001,59.90313725490196,33.1
P0005,1201,01-02-2022,S001,58.20862745098039,39.13
P0006,2981,01-02-2022,S001,57.11627450980392,27.12
P0007,1995,01-02-2022,S001,57.154705882352935,29.9
P0008,3317,01-02-2022,S001,54.893137254901966,34.4
P0009,4934,01-02-2022,S001,56.76176470588235,26.6
P0010,1815,01-02-2022,S001,58.38823529411765,24.7
P0011,4342,01-02-2022,S001,57.14274509803922,27.82
P0012,1455,01-02-2022,S001,58.3956862745098,26.18
P0013,4533,01-02-2022,S001,56.28823529411764,38.21
